builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;qtbase;279.76;0.04;0.37;0%;35;11074;10559;0;30628
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;qtdeclarative;129.39;0.02;0.33;0%;25;10558;10558;0;30548
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;qtwebengine;679.41;0.40;3.31;0%;421;54644;10562;0;30504
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;64;chromium-x11;1747.13;1.02;11.01;0%;2256;98119;10556;0;30412
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;64;qtbase;276.60;0.05;0.36;0%;25;11127;10557;0;30528
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;64;qtdeclarative;128.36;0.05;0.30;0%;25;10558;10561;0;30532
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;64;qtwebengine;617.48;0.34;3.55;0%;687;46571;10555;0;30444
threadripper-3970x-128gb;128;4;no;-2666;32;chromium-x11;2249.83;0.84;9.37;0%;900;135744;10552;0;30440
threadripper-3970x-128gb;128;4;no;-2666;32;qtbase;283.74;0.04;0.37;0%;32;11199;10546;0;30480
threadripper-3970x-128gb;128;4;no;-2666;32;qtdeclarative;133.67;0.03;0.32;0%;30;10715;10551;0;30496
threadripper-3970x-128gb;128;4;no;-2666;32;qtwebengine;763.65;0.33;3.11;0%;260;60466;10549;0;30544
threadripper-3970x-128gb;128;4;no;-2666;48;chromium-x11;1937.98;0.97;10.08;0%;1383;119336;10561;0;30672
threadripper-3970x-128gb;128;4;no;-2666;48;qtbase;273.94;0.06;0.36;0%;30;11175;10625;0;30540
threadripper-3970x-128gb;128;4;no;-2666;48;qtdeclarative;130.07;0.04;0.32;0%;27;10685;10560;0;30508
threadripper-3970x-128gb;128;4;no;-2666;48;qtwebengine;661.01;0.38;3.38;0%;429;54920;10550;0;30516
threadripper-3970x-128gb;128;4;no;-2666;64;chromium-x11;1745.40;0.93;11.19;0%;2157;97948;10547;0;30420
threadripper-3970x-128gb;128;4;no;-2666;64;qtbase;279.56;0.05;0.37;0%;28;11211;10544;0;30464
threadripper-3970x-128gb;128;4;no;-2666;64;qtdeclarative;128.44;0.04;0.31;0%;29;10483;10544;0;30484
threadripper-3970x-128gb;128;4;no;-2666;64;qtwebengine;617.92;0.39;3.48;0%;664;46498;10547;0;30524
threadripper-3970x-128gb;128;4;no;-tmpfs;64;chromium-x11;1669.02;0.87;9.70;0%;2006;98689;10563;0;30656
threadripper-3970x-128gb;128;4;no;-tmpfs;64;qtbase;268.64;0.04;0.36;0%;31;11085;10548;0;30496
threadripper-3970x-128gb;128;4;no;-tmpfs;64;qtdeclarative;125.03;0.03;0.32;0%;30;10545;10545;0;30316
threadripper-3970x-128gb;128;4;no;-tmpfs;64;qtwebengine;574.69;0.31;3.30;0%;738;46279;10545;0;30472
threadripper-3970x-128gb;128;4;no;-tmpfs;64;rust-native;1268.01;0.04;0.42;0%;38;13016;10542;0;30504
threadripper-3970x-128gb;128;4;no;;32;chromium-x11;2139.33;0.82;8.35;0%;766;135560;10553;0;30488
threadripper-3970x-128gb;128;4;no;;32;qtbase;273.40;0.05;0.35;0%;36;11078;10553;0;30272
threadripper-3970x-128gb;128;4;no;;32;qtdeclarative;129.99;0.03;0.33;0%;31;10464;10570;0;30536
threadripper-3970x-128gb;128;4;no;;32;qtwebengine;743.55;0.31;2.92;0%;313;60124;10542;0;30504
threadripper-3970x-128gb;128;4;no;;32;rust-native;1268.95;0.02;0.45;0%;40;13233;10555;0;30628
threadripper-3970x-128gb;128;4;no;;48;chromium-x11;1847.27;0.89;9.10;0%;1334;118788;10553;0;30536
threadripper-3970x-128gb;128;4;no;;48;qtbase;260.94;0.04;0.36;0%;32;11295;10545;0;30632
threadripper-3970x-128gb;128;4;no;;48;qtdeclarative;124.72;0.04;0.32;0%;31;10518;10556;0;30660
threadripper-3970x-128gb;128;4;no;;48;qtwebengine;648.86;0.34;3.17;0%;375;54824;10541;0;30488
threadripper-3970x-128gb;128;4;no;;48;rust-native;1267.87;0.06;0.42;0%;42;13026;10537;0;30484
threadripper-3970x-128gb;128;4;no;;64;chromium-x11;1659.96;0.84;9.75;0%;1879;97699;10545;0;30480
threadripper-3970x-128gb;128;4;no;;64;qtbase;265.90;0.05;0.35;0%;31;10968;10565;0;30532
threadripper-3970x-128gb;128;4;no;;64;qtdeclarative;124.19;0.06;0.30;0%;26;10461;10546;0;30540
threadripper-3970x-128gb;128;4;no;;64;qtwebengine;572.16;0.37;3.24;0%;639;47999;10555;0;30472
threadripper-3970x-128gb;128;4;no;;64;rust-native;1261.16;0.06;0.41;0%;36;12999;10561;0;30488
